French,English
histoire,history
seulement,only
police,police
pensais,thought
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
chaque,each
parlé,speak
arrivé,come
bébé,baby
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
donné,given
corps,body
endroit,place
façon,way
dont,whose
trouve,find
premier,first
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
enfant,child
point,point
suite,after
venez,come
devant,in front of
minutes,minutes
demandé,request
chambre,bedroom
belle,beautiful
droit,law
aimerais,would like to
mari,husband
enfin,finally
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
plutôt,rather
filles,girls
jouer,to play
bureau,office
